id,ids,name,syn
DOID:40029,"[""""""UMLS_CUI:C0571390"""""",""""""DOID:40029""""""]",trimethoprim allergy,"[""""""proloprim allergy"""""",""""""TMP allergy"""""",""""""Primsol allergy"""""",""""""trimethoprim allergy""""""]"
DOID:40030,"[""""""DOID:40030"""""",""""""UMLS_CUI:C0571460""""""]",cefixime allergy,"[""""""cefixime allergy""""""]"
DOID:40031,"[""""""DOID:40031"""""",""""""UMLS_CUI:C0570540""""""]",diclofenac allergy,"[""""""diclofenac allergy"""""",""""""Voltaren allergy""""""]"
DOID:40032,"[""""""DOID:40032"""""",""""""UMLS_CUI:C0571443""""""]",carbapenem allergy,"[""""""carbapenem allergy""""""]"
DOID:40033,"[""""""UMLS_CUI:C0571427"""""",""""""DOID:40033""""""]",piperacillin allergy,"[""""""piperacillin allergy""""""]"
DOID:40034,"[""""""DOID:40034"""""",""""""UMLS_CUI:C0571149""""""]",rocuronium allergy,"[""""""rocuronium allergy"""""",""""""Zemuron allergy"""""",""""""Esmeron allergy""""""]"
DOID:40035,"[""""""DOID:40035"""""",""""""UMLS_CUI:C0570587""""""]",sulfasalazine allergy,"[""""""sulfasalazine allergy""""""]"
DOID:40036,"[""""""UMLS_CUI:C0571147"""""",""""""DOID:40036""""""]",tubocurarine allergy,"[""""""DTC allergy"""""",""""""tubocurarine allergy""""""]"
DOID:40037,"[""""""UMLS_CUI:C0571476"""""",""""""DOID:40037""""""]",aztreonam allergy,"[""""""aztreonam allergy"""""",""""""Azactam allergy"""""",""""""Primbactam allergy""""""]"
DOID:40038,"[""""""DOID:40038""""""]",meropenem allergy,"[""""""Merrem allergy"""""",""""""meropenem allergy""""""]"
DOID:40040,"[""""""DOID:40040""""""]",hexamethylene diisocyanate allergic asthma,"[""""""hexamethylene diisocyanate allergic asthma"""""",""""""allergic asthma to HDI"""""",""""""allergic asthma to HMDI""""""]"
DOID:40041,"[""""""DOID:40041""""""]",isocyanates allergic asthma,"[""""""isocyanates allergic asthma""""""]"
DOID:40042,"[""""""DOID:40042""""""]","diphenylmethane-4,4'-diisocyanate allergic asthma","[""""""allergic asthma to MDI"""""",""""""diphenylmethane-4,4'-diisocyanate allergic asthma""""""]"
DOID:40043,"[""""""DOID:40043""""""]",toluene meta-diisocyanate allergic asthma,"[""""""toluene meta-diisocyanate allergic asthma"""""",""""""allergic asthma to TDI""""""]"
DOID:40044,"[""""""DOID:40044""""""]",methyl isocyanate allergic asthma,"[""""""methyl isocyanate allergic asthma"""""",""""""allergic asthma to MIC""""""]"
DOID:40045,"[""""""DOID:40045""""""]",nickel allergic asthma,"[""""""allergic asthma to Ni"""""",""""""nickel allergic asthma""""""]"
DOID:40046,"[""""""DOID:40046"""""",""""""ICD10CM:L23.0""""""]",nickel allergic contact dermatitis,"[""""""allergic contact dermatitis to Ni"""""",""""""nickel allergic contact dermatitis""""""]"
DOID:40047,"[""""""DOID:40047""""""]",trimellitic anhydride allergic asthma,"[""""""trimellitic anhydride allergic asthma"""""",""""""allergic asthma to TMA""""""]"
DOID:40048,"[""""""DOID:40048""""""]",phthalic anhydride allergic asthma,"[""""""phthalic anhydride allergic asthma""""""]"
DOID:40049,"[""""""DOID:40049""""""]",maleic anhydride allergic asthma,"[""""""allergic asthma to MA"""""",""""""maleic anhydride allergic asthma""""""]"
DOID:40050,"[""""""DOID:40050""""""]",tetrachlorophthalic anhydride allergic asthma,"[""""""tetrachlorophthalic anhydride allergic asthma""""""]"
DOID:40051,"[""""""DOID:40051""""""]",hexahydrophthalic anhydride allergic asthma,"[""""""allergic asthma to HHPA"""""",""""""hexahydrophthalic anhydride allergic asthma""""""]"
DOID:40052,"[""""""DOID:40052""""""]","diphenylmethane-4,4'-diisocyanate allergic contact dermatitis","[""""""allergic contact dermatitis to MDI"""""",""""""diphenylmethane-4,4'-diisocyanate allergic contact dermatitis""""""]"
DOID:40053,"[""""""DOID:40053""""""]",cobalt allergic contact dermatitis,"[""""""allergic contact dermatitis to Co"""""",""""""cobalt allergic contact dermatitis""""""]"
DOID:40054,"[""""""DOID:40054""""""]",cobalt allergic asthma,"[""""""Co allergic asthma"""""",""""""cobalt allergic asthma""""""]"
DOID:40055,"[""""""DOID:40055""""""]",palladium allergic contact dermatitis,"[""""""palladium allergic contact dermatitis"""""",""""""allergic contact dermatitis to Pd""""""]"
DOID:40056,"[""""""ICD10CM:L23.0"""""",""""""DOID:40056""""""]",chromium allergic contact dermatitis,"[""""""chromium allergic contact dermatitis""""""]"
DOID:40057,"[""""""UMLS_CUI:C0571102"""""",""""""DOID:40057""""""]",benzoic acid allergic contact dermatitis,"[""""""allergic contact dermatitis to benzoate"""""",""""""benzoic acid allergic contact dermatitis""""""]"
DOID:40058,"[""""""DOID:40058""""""]","1,4-phenylenediamine allergic contact dermatitis","[""""""allergic contact dermatitis to PPD"""""",""""""1,4-phenylenediamine allergic contact dermatitis"""""",""""""allergic contact dermatitis to p-phenylenediamine""""""]"
DOID:40059,"[""""""DOID:40059""""""]",potassium dichromate allergic contact dermatitis,"[""""""potassium dichromate allergic contact dermatitis""""""]"
DOID:40060,"[""""""DOID:40060"""""",""""""UMLS_CUI:C0570547""""""]",ketoprofen photoallergic dermatitis,"[""""""ketoprofen photoallergic dermatitis"""""",""""""photoallergic dermatitis to Orudis""""""]"
DOID:40061,"[""""""DOID:40061""""""]",remazole black respiratory allergy,"[""""""remazole black respiratory allergy"""""",""""""respiratory allergy to Reactive Black 5""""""]"
DOID:40062,"[""""""DOID:40062""""""]",chloramine T respiratory allergy,"[""""""respiratory allergy to Chlorazol"""""",""""""respiratory allergy to Trichlorol"""""",""""""respiratory allergy to Chloraseptin"""""",""""""chloramine T respiratory allergy""""""]"
DOID:40063,"[""""""DOID:40063""""""]",4-vinylcyclohexene dioxide respiratory allergy,"[""""""4-vinylcyclohexene dioxide respiratory allergy"""""",""""""respiratory allergy to vinyl cyclohexene diepoxide""""""]"
DOID:40064,"[""""""DOID:40064""""""]",carvone allergic contact dermatitis,"[""""""carvone allergic contact dermatitis"""""",""""""allergic contact dermatitis to levo-carvone""""""]"
DOID:40065,"[""""""DOID:40065"""""",""""""UMLS_CUI:C0571881""""""]",quinidine allergy,"[""""""quinidine allergy"""""",""""""Kinidin allergy""""""]"
DOID:40066,"[""""""DOID:40066"""""",""""""UMLS_CUI:C0570673""""""]",melphalan allergy,"[""""""Alkeran allergy"""""",""""""melphalan allergy""""""]"
DOID:40067,"[""""""DOID:40067"""""",""""""UMLS_CUI:C1443961""""""]",neomycin sulfate allergic contact dermatitis,"[""""""neomycin sulfate allergic contact dermatitis"""""",""""""allergic contact dermatitis to neomycin sulphate""""""]"
DOID:40068,"[""""""DOID:40068""""""]",4-tert-butylphenol allergic contact dermatitis,"[""""""4-tert-butylphenol allergic contact dermatitis"""""",""""""allergic contact dermatitis to PTBP"""""",""""""allergic contact dermatitis to butylphen""""""]"
DOID:40069,"[""""""DOID:40069""""""]","1-chloro-2,4-dinitrobenzene allergic contact dermatitis","[""""""allergic contact dermatitis to dinitrochlorobenzene"""""",""""""1-chloro-2,4-dinitrobenzene allergic contact dermatitis"""""",""""""allergic contact dermatitis to DNCB""""""]"
DOID:40070,"[""""""DOID:40070"""""",""""""UMLS_CUI:C0571504""""""]",co-trimoxazole allergy,"[""""""TMP/SMX allergy"""""",""""""Bactrim allergy"""""",""""""trimethoprim/sulfamethoxazole allergy"""""",""""""co-trimoxazole allergy"""""",""""""cotrimoxazol allergy""""""]"
DOID:40071,"[""""""UMLS_CUI:C0571155"""""",""""""DOID:40071""""""]",sodium aurothiomalate allergy,"[""""""gold sodium thiomalate allergy"""""",""""""sodium aurothiomalate allergy""""""]"
DOID:40072,"[""""""DOID:40072""""""]",parthenolide allergic contact dermatitis,"[""""""allergic contact dermatitis to feverfew"""""",""""""parthenolide allergic contact dermatitis""""""]"
DOID:40073,"[""""""DOID:40073""""""]",disodium cromoglycate allergy,"[""""""disodium cromoglycate allergy"""""",""""""DSCG allergy""""""]"
DOID:40074,"[""""""UMLS_CUI:C0571339"""""",""""""DOID:40074""""""]",formaldehyde allergic contact dermatitis,"[""""""allergic contact dermatitis to formalin"""""",""""""formaldehyde allergic contact dermatitis""""""]"
DOID:40075,"[""""""DOID:40075""""""]",benzo[d]isothiazol-3-one allergic contact dermatitis,"[""""""benzo[d]isothiazol-3-one allergic contact dermatitis"""""",""""""allergic contact dermatitis to benzisothiazolone"""""",""""""allergic contact dermatitis to BIT""""""]"
DOID:40076,"[""""""DOID:40076"""""",""""""UMLS_CUI:C0571482""""""]",phthalyl group allergy,"[""""""phthalyl group allergy"""""",""""""phthalyl allergy""""""]"
DOID:40077,"[""""""DOID:40077""""""]",alcuronium bromide allergy,"[""""""alcuronium bromide allergy""""""]"
DOID:40078,"[""""""UMLS_CUI:C0571145"""""",""""""DOID:40078""""""]",gallamine allergy,"[""""""gallamine allergy""""""]"
DOID:40079,"[""""""DOID:40079""""""]","2,4-dinitrophenyl allergic contact dermatitis","[""""""allergic contact dermatitis to DNP"""""",""""""2,4-dinitrophenyl allergic contact dermatitis""""""]"
DOID:40080,"[""""""DOID:40080""""""]",patent blue V allergy,"[""""""patent blue V allergy""""""]"
DOID:40081,"[""""""DOID:40081""""""]",acid anhydride respiratory allergy,"[""""""acid anhydride respiratory allergy""""""]"
DOID:40082,"[""""""DOID:40082""""""]",oxirane allergy,"[""""""oxirane allergy"""""",""""""ETO allergy"""""",""""""ethylene oxide allergy""""""]"
DOID:40083,"[""""""ICD9CM:483.1"""""",""""""ICD10CM:J16.0"""""",""""""DOID:40083""""""]",Chlamydia pneumonia,"[""""""Chlamydia pneumonia""""""]"
DOID:40084,"[""""""ICD10CM:J13"""""",""""""DOID:40084"""""",""""""ICD9CM:481""""""]",Streptococcus pneumonia,"[""""""Streptococcus pneumonia""""""]"
DOID:40085,"[""""""SNOMEDCT_US_2018_03_01:17463016"""""",""""""ICD9CM:995.91"""""",""""""DOID:40085""""""]",bacterial sepsis,"[""""""bacterial sepsis""""""]"
DOID:40086,"[""""""UMLS_CUI:C1697878"""""",""""""DOID:40086""""""]",Polyomavirus-associated Nephropathy,"[""""""Polyomavirus-associated Nephropathy"""""",""""""PVAN"""""",""""""polyomavirus associated nephropathy""""""]"
DOID:40087,"[""""""DOID:40087""""""]",autoimmune peripheral neuropathy,"[""""""autoimmune peripheral neuropathy""""""]"
DOID:40088,"[""""""DOID:40088""""""]",autoimmune uveitis,"[""""""autoimmune uveitis""""""]"
DOID:40089,"[""""""DOID:40089""""""]",autoimmune optic neuritis,"[""""""autoimmune optic neuritis""""""]"
DOID:40090,"[""""""DOID:40090""""""]",autoimmune gastritis,"[""""""autoimmune gastritis""""""]"
DOID:40091,"[""""""DOID:40091"""""",""""""UMLS_CUI:C2609129""""""]",autoimmune pancreatitis,"[""""""autoimmune pancreatitis""""""]"
DOID:40092,"[""""""DOID:40092"""""",""""""ICD10CM:M08.1"""""",""""""UMLS_CUI:C0409675""""""]",juvenile ankylosing spondylitis,"[""""""juvenile ankylosing spondylitis""""""]"
DOID:40093,"[""""""ICD10CM:M32.0"""""",""""""DOID:40093"""""",""""""UMLS_CUI:C0263591""""""]",drug-induced lupus erythematosus,"[""""""DIL"""""",""""""drug-induced lupus erythematosus"""""",""""""DILE""""""]"
DOID:40094,"[""""""DOID:40094""""""]",autoimmune glomerulonephritis,"[""""""autoimmune glomerulonephritis""""""]"
DOID:40095,"[""""""DOID:40095""""""]",autoimmune cardiomyopathy,"[""""""autoimmune cardiomyopathy""""""]"
DOID:40096,"[""""""DOID:40096""""""]",autoimmune atherosclerosis,"[""""""autoimmune atherosclerosis""""""]"
DOID:40097,"[""""""UMLS_CUI:C1328843"""""",""""""DOID:40097""""""]",autoimmune vasculitis,"[""""""autoimmune vasculitis""""""]"
DOID:40098,"[""""""SNOMED_CT_US_2018_03_01:86081009"""""",""""""ICD10CM:O26.4"""""",""""""MESH:D006559"""""",""""""DOID:40098""""""]",pemphigus gestationis,"[""""""pemphigus gestationis""""""]"
DOID:40099,"[""""""ICD9CM:709.1"""""",""""""ICD10CM:L95.0"""""",""""""DOID:40099""""""]",livedoid vasculitis,"[""""""livedoid vasculitis"""""",""""""livedoid vasculopathy""""""]"
DOID:40100,"[""""""DOID:40100"""""",""""""UMLS_CUI:C0854359"""""",""""""SNOMECT:2152370016""""""]",Hirata disease,"[""""""Hirata disease"""""",""""""insulin autoimmune syndrome""""""]"
DOID:40101,"[""""""DOID:40101""""""]","N,N'-diphenylthiourea allergic contact dermatitis","[""""""N,N'-diphenylthiourea allergic contact dermatitis"""""",""""""neoprene allergy""""""]"
DOID:40102,"[""""""DOID:40102""""""]","N,N'-diethylthiourea allergic contact dermatitis","[""""""N,N'-diethylthiourea allergic contact dermatitis"""""",""""""neoprene allergy""""""]"
DOID:40103,"[""""""DOID:40103""""""]",cefotiam allergy,"[""""""cefotiam allergy""""""]"
DOID:40104,"[""""""DOID:40104""""""]","toluene 2,4-diisocyanate allergic asthma","[""""""toluene 2,4-diisocyanate allergic asthma""""""]"
DOID:50001,"[""""""DOID:50001""""""]",obsolete Actinomadura madurae infectious disease,"[""""""obsolete Actinomadura madurae infectious disease""""""]"
DOID:50002,"[""""""DOID:50002""""""]",obsolete Actinomadura pelletieri infectious disease,"[""""""obsolete Actinomadura pelletieri infectious disease""""""]"
DOID:50003,"[""""""DOID:50003""""""]",obsolete Streptomyces somaliensis infectious disease,"[""""""obsolete Streptomyces somaliensis infectious disease""""""]"
DOID:50004,"[""""""UMLS_CUI:C0578661"""""",""""""DOID:50004""""""]",seminal vesicle acute gonorrhea,"[""""""seminal vesicle acute gonorrhea""""""]"
DOID:50007,"[""""""DOID:50007""""""]",obsolete cutaneous strongyloidiasis,"[""""""obsolete cutaneous strongyloidiasis""""""]"
DOID:50009,"[""""""DOID:50009""""""]",obsolete intestinal strongyloidiasis,"[""""""obsolete intestinal strongyloidiasis""""""]"
DOID:50010,"[""""""DOID:50010""""""]",obsolete Mansonella perstans infectious disease,"[""""""obsolete Mansonella perstans infectious disease""""""]"
DOID:50011,"[""""""DOID:50011""""""]",obsolete Mansonella streptocerca infectious disease,"[""""""obsolete Mansonella streptocerca infectious disease""""""]"
DOID:50012,"[""""""GARD:6038"""""",""""""DOID:50012""""""]",chikungunya,"[""""""Chikungunya fever"""""",""""""chikungunya""""""]"
DOID:50013,"[""""""DOID:50013""""""]",carbohydrate metabolism disease,"[""""""carbohydrate metabolism disease""""""]"
DOID:50014,"[""""""DOID:50014""""""]",obsolete epizootic hemorrhagic disease,"[""""""EHD"""""",""""""obsolete epizootic hemorrhagic disease""""""]"
DOID:50015,"[""""""DOID:50015""""""]",obsolete Rocio virus encephalitis,"[""""""obsolete Rocio virus encephalitis""""""]"
DOID:50024,"[""""""DOID:50024""""""]",obsolete Ehrlichia ewingii ehrlichiosis,"[""""""obsolete Ehrlichia ewingii ehrlichiosis""""""]"
DOID:50025,"[""""""DOID:50025""""""]",human granulocytic anaplasmosis,"[""""""human granulocytic anaplasmosis"""""",""""""human granulocytic ehrlichiosis"""""",""""""HGE""""""]"
DOID:50026,"[""""""GARD:72"""""",""""""DOID:50026""""""]",human monocytic ehrlichiosis,"[""""""human monocytic ehrlichiosis"""""",""""""Ehrlichiosis chafeensis""""""]"
DOID:50032,"[""""""DOID:50032""""""]",mineral metabolism disease,"[""""""mineral metabolism disease""""""]"
DOID:50035,"[""""""DOID:50035""""""]",African tick-bite fever,"[""""""African tick-bite fever"""""",""""""south african tick-bite fever"""""",""""""Rickettsia africae spotted fever""""""]"
DOID:50041,"[""""""DOID:50041""""""]",Astrakhan spotted fever,"[""""""Astrakhan spotted fever""""""]"
DOID:50042,"[""""""DOID:50042""""""]",Indian tick typhus,"[""""""Indian tick typhus""""""]"
DOID:50043,"[""""""DOID:50043""""""]",Israeli tick typhus,"[""""""Israeli spotted fever"""""",""""""Israeli tick typhus""""""]"
DOID:50046,"[""""""DOID:50046""""""]",Far Eastern spotted fever,"[""""""Far Eastern spotted fever"""""",""""""Rickettsia heilongjiangensis spotted fever""""""]"
DOID:50047,"[""""""DOID:50047""""""]",Flinders Island spotted fever,"[""""""FISF"""""",""""""Flinders Island spotted fever"""""",""""""Thai tick typhus""""""]"
DOID:50050,"[""""""DOID:50050""""""]",Japanese spotted fever,"[""""""oriental spotted fever"""""",""""""Rickettsia japonica spotted fever"""""",""""""Japanese spotted fever""""""]"
DOID:50051,"[""""""DOID:50051""""""]",Rickettsia parkeri spotted fever,"[""""""Rickettsia parkeri spotted fever"""""",""""""maculatum infection""""""]"
DOID:50052,"[""""""GARD:7585"""""",""""""DOID:50052""""""]",Rocky Mountain spotted fever,"[""""""Fiebre manchada"""""",""""""Fiebre maculosa"""""",""""""Brazillian spotted"""""",""""""Exanthematic typhus of Sao Paulo"""""",""""""Choix""""""]"
DOID:50053,"[""""""DOID:50053""""""]",obsolete Rickettsia honei spotted fever,"[""""""obsolete Rickettsia honei spotted fever""""""]"
DOID:50059,"[""""""DOID:50059""""""]",oropharyngeal anthrax,"[""""""oropharyngeal anthrax""""""]"
DOID:50061,"[""""""MESH:D004887"""""",""""""DOID:50061""""""]",erysipeloid,"[""""""erysipeloid""""""]"
DOID:50063,"[""""""DOID:50063""""""]",obsolete abortive plague,"[""""""obsolete abortive plague""""""]"
DOID:50065,"[""""""DOID:50065""""""]",obsolete cutaneous listeriosis,"[""""""obsolete cutaneous listeriosis""""""]"
DOID:50066,"[""""""DOID:50066""""""]",obsolete Listeria meningoencephalitis,"[""""""obsolete Listeria meningoencephalitis""""""]"
DOID:50067,"[""""""DOID:50067""""""]",obsolete Listeria septicaemia,"[""""""obsolete Listeria septicaemia""""""]"
DOID:50068,"[""""""DOID:50068""""""]",obsolete pestis minor,"[""""""obsolete pestis minor""""""]"
DOID:50069,"[""""""DOID:50069""""""]",obsolete Yersinia pestis infectious disease,"[""""""obsolete Yersinia pestis infectious disease""""""]"
DOID:50070,"[""""""DOID:50070""""""]",obsolete plague meningitis,"[""""""obsolete plague meningitis""""""]"
DOID:50072,"[""""""DOID:50072""""""]",adiaspiromycosis,"[""""""adiaspiromycosis""""""]"
DOID:50073,"[""""""DOID:50073""""""]",invasive aspergillosis,"[""""""invasive aspergillosis""""""]"
DOID:50074,"[""""""DOID:50074""""""]",obsolete tonsillar aspergillosis,"[""""""obsolete tonsillar aspergillosis""""""]"
DOID:50075,"[""""""DOID:50075""""""]",obsolete pulmonary blastomycosis,"[""""""obsolete pulmonary blastomycosis""""""]"
DOID:50078,"[""""""DOID:50078""""""]",obsolete cervix tuberculosis,"[""""""obsolete cervix tuberculosis""""""]"
DOID:50079,"[""""""DOID:50079""""""]",obsolete niacin deficiency,"[""""""obsolete niacin deficiency""""""]"
DOID:50080,"[""""""DOID:50080""""""]",obsolete iodine deficiency,"[""""""obsolete iodine deficiency""""""]"
DOID:50082,"[""""""DOID:50082""""""]",obsolete hepatic Torque teno virus infectious disease,"[""""""TT virus liver infection"""""",""""""human circovirus infectious disease"""""",""""""Transfussion-transmitted virus liver infection"""""",""""""obsolete hepatic Torque teno virus infectious disease""""""]"
DOID:50083,"[""""""GARD:8761"""""",""""""DOID:50083""""""]",Keshan disease,"[""""""Keshan disease""""""]"
DOID:50084,"[""""""DOID:50084""""""]",obsolete rhinotracheitis,"[""""""Feline viral rhinotracheitis"""""",""""""feline coryza"""""",""""""feline influenza"""""",""""""obsolete rhinotracheitis""""""]"
DOID:50085,"[""""""DOID:50085""""""]",obsolete entomophthoromycosis,"[""""""obsolete entomophthoromycosis""""""]"
DOID:50086,"[""""""DOID:50086""""""]",obsolete cutaneous mucormycosis,"[""""""obsolete cutaneous mucormycosis""""""]"
DOID:50088,"[""""""DOID:50088""""""]",obsolete gastrointestinal mucormycosis,"[""""""obsolete gastrointestinal mucormycosis""""""]"
DOID:50089,"[""""""DOID:50089""""""]",obsolete pulmonary mucormycosis,"[""""""obsolete pulmonary mucormycosis""""""]"
DOID:50090,"[""""""DOID:50090""""""]",obsolete rhinocerebral mucormycosis,"[""""""obsolete rhinocerebral mucormycosis""""""]"
DOID:50091,"[""""""DOID:50091""""""]",obsolete disseminated paracoccidioidomycosis,"[""""""obsolete disseminated paracoccidioidomycosis""""""]"
DOID:50092,"[""""""DOID:50092""""""]",obsolete pulmonary paracoccidioidomycosis,"[""""""obsolete pulmonary paracoccidioidomycosis""""""]"
DOID:50093,"[""""""DOID:50093""""""]",obsolete disseminated sporotrichosis,"[""""""obsolete disseminated sporotrichosis""""""]"
DOID:50094,"[""""""DOID:50094""""""]",obsolete lymphocutaneous sporotrichosis,"[""""""obsolete lymphocutaneous sporotrichosis""""""]"
DOID:50095,"[""""""DOID:50095""""""]",obsolete pulmonary sporotrichosis,"[""""""obsolete pulmonary sporotrichosis""""""]"
DOID:50096,"[""""""DOID:50096""""""]",tinea barbae,"[""""""tinea barbae"""""",""""""dermatophytosis of beard""""""]"
DOID:50097,"[""""""DOID:50097""""""]",ectothrix infectious disease,"[""""""ectothrix infectious disease""""""]"
DOID:50098,"[""""""DOID:50098""""""]",obsolete Microsporum audouinii tinea capitis,"[""""""obsolete Microsporum audouinii tinea capitis""""""]"
DOID:50099,"[""""""DOID:50099""""""]",obsolete Microsporum canis tinea capitis,"[""""""obsolete Microsporum canis tinea capitis""""""]"
DOID:50100,"[""""""DOID:50100""""""]",obsolete Microsporum distortum tinea capitis,"[""""""obsolete Microsporum distortum tinea capitis""""""]"
DOID:50101,"[""""""DOID:50101""""""]",obsolete Microsporum ferrugineum tinea capitis,"[""""""obsolete Microsporum ferrugineum tinea capitis""""""]"
